aweek,bvid,category,coin,favorite,like,mid,name,play_link,reply,title,view
167,BV1Aa411E7ZR,人力VOCALOID,447139,255575,849259,5260378,白勺啊达,https://b23.tv/BV1Aa411E7ZR,7390,爱你，就多判一年,8492201
167,BV1st4y1s7Kk,原创音乐,31894,20288,77832,48421904,贾逸可,https://b23.tv/BV1st4y1s7Kk,2943,我帮周董“出歌”还被本人评论了？！原创歌曲《常玉》,1404961
167,BV11g411d7TW,穿搭,221958,328900,889645,836885,清和Alicia,https://b23.tv/BV11g411d7TW,10116,约尔太太今天约会♥,8081906
167,BV1x34y1E77j,综合,152212,253446,771955,397857697,黄方块和粉星星a,https://b23.tv/BV1x34y1E77j,5713,“轻 轻 敲 醒 沉 睡 的 心 灵”,7924634
167,BV1ev4y1A7Wo,鬼畜剧场,35683,41614,213570,429765143,快乐阿依,https://b23.tv/BV1ev4y1A7Wo,1305,美 国 退 长,3988127
167,BV1cU4y1U7mp,短片·手书·配音,46856,47917,414247,627888730,星有野,https://b23.tv/BV1cU4y1U7mp,3553,【521 仨 人 全 破 防 了】,3823378
167,BV17T4y1z7gB,日常,236816,47662,330954,6016626,呆阿拿,https://b23.tv/BV17T4y1z7gB,6841,怎么办啊！我被求婚了！,4912553
167,BV1h5411X7DF,绘画,45716,16414,137609,150522015,东东翔,https://b23.tv/BV1h5411X7DF,1965,毕业创作的诞生,1336806
167,BV1234y1E72K,人力VOCALOID,29485,17850,83684,39422678,夜雨星繁y,https://b23.tv/BV1234y1E72K,1576,爱你？劈你！,1356949
167,BV155411X7EN,极客DIY,55151,95549,881841,2068622664,猪坚强jqsg999,https://b23.tv/BV155411X7EN,8103,不忍直视，我居然制做了这么多垃圾,8021577
167,BV1LZ4y1h7tQ,日常,94456,22661,254322,9824766,敬汉卿,https://b23.tv/BV1LZ4y1h7tQ,7591,菜鸟驿站真的赚钱吗？我承包一个店给大家打个样！,3988235
167,BV1KB4y1R7pq,出行,159224,29285,280371,25807917,阿福Thomas,https://b23.tv/BV1KB4y1R7pq,6618,瘦了120斤后，回德国给爸妈惊喜！我妈：你谁啊？,2987537
167,BV1K34y177b5,原创音乐,24864,14026,95628,17134369,司墨尧smile,https://b23.tv/BV1K34y177b5,2065,爱你，但是是二手的,1627554
167,BV1Rt4y1x79A,短片·手书·配音,17991,33299,156656,24759869,koko396,https://b23.tv/BV1Rt4y1x79A,1322,间谍过家家，但，蜡笔小新。,2127453
167,BV1XY4y157g8,绘画,635792,141295,858228,456664753,央视新闻,https://b23.tv/BV1XY4y157g8,5868,丰收了 我真的很想画这幅画,4753376
167,BV1xS4y1z7qt,MV,50849,86758,195305,1636530654,Faye-詹雯婷,https://b23.tv/BV1xS4y1z7qt,4432,【Faye詹雯婷】内地首发国风新曲《人间惊鸿客》，惊喜来袭！,3220428
167,BV1x3411V7tL,科学科普,109921,74650,144662,19319172,差评君,https://b23.tv/BV1x3411V7tL,4231,这名“业余”程序员，曾用50张1080ti对抗癌症【差评君】,2207406
167,BV1d54y1Z7fC,MV,53059,86601,200703,444935584,梦幻西游电脑版,https://b23.tv/BV1d54y1Z7fC,7651,【王晰X下潜】低音炮来上分了，我是无底的,6818898
167,BV1oB4y197yf,明星综合,150913,122797,306968,3670216,TF家族,https://b23.tv/BV1oB4y197yf,37921,【时代少年团】《循梦》,5278968
167,BV1zB4y197Ru,手机游戏,106363,54589,327749,401742377,原神,https://b23.tv/BV1zB4y197Ru,20367,《原神》夜兰角色PV——「天网恢恢」,4000136
167,BV1W3411P7Lm,科学科普,152115,118329,206501,7788379,兔叭咯,https://b23.tv/BV1W3411P7Lm,2450,【医学博士】如何拯救草莓鼻？I 毛孔粗大还有救吗？,1736308
167,BV18g411o7fH,手机游戏,50379,24656,111110,1955897084,鸣潮游戏,https://b23.tv/BV18g411o7fH,18978,《鸣潮》概念CG｜先导预告,2343910
167,BV135411R7q6,美食制作,42167,120234,69374,53752473,hello周晓楠,https://b23.tv/BV135411R7q6,1905,黄焖鸡米饭真正的配方，15个字，一万块钱,1344501
167,BV1rY4y1t7sh,MAD·AMV,33983,53233,98750,122757660,金喆tt,https://b23.tv/BV1rY4y1t7sh,1105,仿生人会吃电子羊吗？𝑳𝒐𝒖𝒅𝒆𝒓 𝒕𝒉𝒂𝒏 𝒃𝒐𝒎𝒃𝒔,984516
167,BV1J54y1o7Sk,电子竞技,58071,25455,261521,25503580,布锅锅,https://b23.tv/BV1J54y1o7Sk,2848,清兵先锋世界纪录：15秒462刀！没有一个多余的操作！我已登峰造极！,4238948
167,BV14B4y197NX,手办·模玩,105792,44674,104988,390212232,梁工的忧郁,https://b23.tv/BV14B4y197NX,3386,极致的偷胶—近千小时自制【全金属】元祖高达·改！屹立于大地之上！！,1431362
167,BV16r4y147ne,鬼畜调教,22796,18596,64052,7518140,暂离二度,https://b23.tv/BV16r4y147ne,974,《爱你》，但逐渐离谱,1092270
167,BV1na411E7KL,美食制作,122729,64940,229587,473524263,澳洲阿彭,https://b23.tv/BV1na411E7KL,3105,土 豆 天 花 板,3036680
167,BV1Z3411G7LD,科学科普,62876,26133,317782,14804670,无穷小亮的科普日常,https://b23.tv/BV1Z3411G7LD,7107,【亮记生物鉴定】带王冰冰逮虫子,3386102
167,BV1Q3411A7CH,篮球,74481,14895,111354,6336952,老李船长,https://b23.tv/BV1Q3411A7CH,2983,"现场见证 ""勇士西部决赛"" 金色海洋重现！现场震撼！大胜独行侠！",1176510
167,BV1ra41177B4,手工,130825,88670,584989,457057852,会做漆艺的小李子,https://b23.tv/BV1ra41177B4,3490,用时5个月完成的毕业作品，每根羽毛都是我对生命的热爱,3820555
167,BV1PS4y1z7QB,运动综合,2624,11616,173699,88895225,张镇辉台球教学,https://b23.tv/BV1PS4y1z7QB,599,张镇辉台球正经教学【6个不太建议使用的技巧】13.0版本,1511254
167,BV1DY411F7pb,音乐综合,45448,13385,161962,1966161706,Tank吕建忠,https://b23.tv/BV1DY411F7pb,8678,【Tank】B站的朋友们！我来啦！看到结尾有惊喜哦！,1299021
167,BV1c54y1o7BS,搞笑,94640,21496,307968,113362335,宝剑嫂,https://b23.tv/BV1c54y1o7BS,4142,连环整蛊！假装砸坏天价电视，男朋友看到后居然...,2422935
167,BV1ig411d7Q8,综艺,122465,22100,136192,883968,暴走漫画,https://b23.tv/BV1ig411d7Q8,3870,【暴走大事件第九季】01 暴走大事件进入元宇宙时代，有痔之士痛诉非人遭遇,1188579
167,BV1x34y1E7Uz,热点,58926,19592,234950,473837611,新华社,https://b23.tv/BV1x34y1E7Uz,2982,在召唤师峡谷，守护他们的热爱,2371349
167,BV19S4y1B79j,搞笑,32592,11846,181562,1020040160,永琪吗,https://b23.tv/BV19S4y1B79j,2645,永琪与紫菜蛋花兔的缺氧日记,2577773
166,BV1Ju411y76n,搞笑,96730,37051,284768,3066511,特效小哥studio,https://b23.tv/BV1Ju411y76n,2106,天崩地裂！穿越时空！特效小哥大战建模小哥4.5,3065894
166,BV1ir4y1H74w,数码,1710827,469224,1505186,163637592,老师好我叫何同学,https://b23.tv/BV1ir4y1H74w,24696,【何同学】我找到了我最喜欢的数码产品，但是...,10614995
166,BV1JS4y1e7DQ,绘画,18982,46792,445953,1131457022,人民日报,https://b23.tv/BV1JS4y1e7DQ,1177,【小鸡恰恰舞】航天员回家版,4182439
166,BV1ZF411g7EZ,手机游戏,585997,298590,791714,401742377,原神,https://b23.tv/BV1ZF411g7EZ,51849,《原神》PV短片——「雪霁逢椿」,9906203
166,BV12u411C7EH,美食制作,362276,59328,516712,18202105,绵羊料理,https://b23.tv/BV12u411C7EH,7184,忙活了3天3晚，吹出了一坨碳水炸弹！,5368185
166,BV1ii4y1U7fS,设计·创意,348174,126342,325751,125526,-LKs-,https://b23.tv/BV1ii4y1U7fS,9597,半个月8000人投稿！我的征集比赛来了这么多大佬？,2463719
